siteid,latitude_x,longitude_x,target_siteid,tos_field_ph,shire,stationCode,stationName,latitude_y,longitude_y,dateTime,rainfall.yearToDate
2007190071,-32.052,118.166,TS0586,6.0,bruce rock,ME004,Belka East,-31.7285278,118.2979722,2022-02-22,21.0
2007190071,-32.052,118.166,TS0586,6.0,bruce rock,SH001,Shackleton,-31.9456,117.8383,2022-02-22,28.8
2007190289,-32.051,118.166,TS0586,6.0,bruce rock,SH002,Babakin,-32.12548,118.00406,2022-02-22,1.0
2007190289,-32.051,118.166,TS0586,6.0,bruce rock,ME004,Belka East,-31.7285278,118.2979722,2022-02-22,21.0
2007190289,-32.051,118.166,TS0586,6.0,bruce rock,SH001,Shackleton,-31.9456,117.8383,2022-02-22,28.8
2007190073,-32.573,118.451,TS0598,6.5,kulin,KI001,Kulin,-32.790382,118.301848,2022-02-22,3.4
2007190073,-32.573,118.451,TS0598,6.5,kulin,PN001,Pingaring,-32.7340833,118.627139,2022-02-22,1.2
2007190086,-32.761,115.906,TS0596,6.0,murray,SOLS,Mount Solus,-32.47,116.214333,2022-02-22,0.0
2007190086,-32.761,115.906,TS0596,6.0,murray,PI001,Pinjarra,-32.695554,115.916265,2022-02-22,1.8
2007190101,-31.629,115.73,TS0573,7.0,wanneroo,PINJ,Pinjar Tower,-31.658787,115.776057,2022-02-22,3.2
2007190101,-31.629,115.73,TS0573,7.0,wanneroo,WN,Wanneroo,-31.583153,115.694155,2022-02-22,0.2
2007190163,-32.912,115.823,TS0601,5.0,waroona,WR,Waroona,-32.856145,115.894339,2022-02-22,1.8
2007190207,-32.999,118.555,TS0604,7.5,lake grace,DR001,Dragon Rocks,-32.8497,119.038966,2022-02-22,17.0
2007190207,-32.999,118.555,TS0604,7.5,lake grace,LK,Lake King,-33.025421,119.800027,2022-02-22,16.2
2007190207,-32.999,118.555,TS0604,7.5,lake grace,MG001,Magenta,-33.27912,119.16365,2022-02-22,20.4
2007190207,-32.999,118.555,TS0604,7.5,lake grace,NE,Newdegate,-33.112956,118.839964,2022-02-22,13.0
2007190459,-32.789,118.591,TS0600,6.0,lake grace,DR001,Dragon Rocks,-32.8497,119.038966,2022-02-22,17.0
2007190459,-32.789,118.591,TS0600,6.0,lake grace,LK,Lake King,-33.025421,119.800027,2022-02-22,16.2
2007190459,-32.789,118.591,TS0600,6.0,lake grace,MG001,Magenta,-33.27912,119.16365,2022-02-22,20.4
2007190459,-32.789,118.591,TS0600,6.0,lake grace,NE,Newdegate,-33.112956,118.839964,2022-02-22,13.0
2007191296,-32.941,120.345,TS0602,8.0,lake grace,DR001,Dragon Rocks,-32.8497,119.038966,2022-02-22,17.0
2007191296,-32.941,120.345,TS0602,8.0,lake grace,LK,Lake King,-33.025421,119.800027,2022-02-22,16.2
2007191296,-32.941,120.345,TS0602,8.0,lake grace,MG001,Magenta,-33.27912,119.16365,2022-02-22,20.4
2007191296,-32.941,120.345,TS0602,8.0,lake grace,NE,Newdegate,-33.112956,118.839964,2022-02-22,13.0
2007190235,-24.7,115.309,TS0391,8.0,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007190282,-24.107,116.455,TS0373,8.0,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007190342,-25.147,116.934,TS0404,7.5,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007190915,-25.193,115.511,TS0406,7.5,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007190976,-25.045,117.587,TS0401,8.0,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007190989,-25.147,116.933,TS0404,7.0,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007191377,-25.742,115.124,TS0416,8.0,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007191392,-25.026,115.864,TS0402,8.0,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007191419,-24.025,115.674,TS0367,8.0,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007191503,-24.75,116.26,TS0389,7.5,upper gascoyne,BTSA,DFES-A Portable,-25.055,115.2096,2022-02-22,13.4
2007190281,-23.892,113.995,TS0368,7.5,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007190541,-24.958,114.807,TS0396,7.5,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007190683,-23.754,114.391,TS0363,8.0,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
2007190691,-25.996,114.316,TS0471,8.0,carnarvon,CA,Carnarvon 1,-24.851402,113.731443,2022-02-22,3.6
