SITEID,LATITUDE,LONGITUDE,DUPLICATE,TARGET_SITEID,TOS_FIELD_PH,BOS_FIELD_PH
2007190372,-34.207,144.625,,TS1288,8,9
2007190373,-22.283,137.936,,TS0800,5.5,5.5
2007190374,-16.485,141.792,,TS0892,5,5.5
2007190375,-28.894,116.386,,TS0450,7.5,10
2007190377,-15.359,130.288,,TS0690,6.5,6
2007190378,-34.87,143.87,,TS1293,8.5,9
2007190379,-25.395,132.55,,TS0849,6.5,6.5
2007190381,-42.78,147.088,,TS1387,4.5,5
2007190382,-21.949,138.458,,TS0990,8.5,8.5
2007190383,-22.401,145.129,2007191416,TS1009,7,6.5
2007190384,-22.738,132.823,,TS0809,6,6
2007190385,-25.238,143.799,,TS1079,6,6.5
2007190386,-21.615,115.925,,TS0299,8.5,8
2007190387,-12.363,136.709,,TS0639,6.5,6.5
2007190389,-26.763,134.539,2007190074,TS0110,6,5
2007190390,-22.019,133.984,,TS0798,6,6
2007190391,-26.303,139.386,,TS0187,6.5,5.5
2007190392,-17.463,141.189,,TS0910,6.5,6
2007190393,-35.397,143.649,2007191050,TS1334,4.5,4.5
2007190394,-33.034,146.645,,TS1265,6,9
2007190395,-31.352,123.61,,TS0565,6.5,6.5
2007190396,-32.317,150.757,,TS1243,8,8
2007190398,-28.749,122.193,,TS0438,6.5,8.5
2007190399,-16.768,131.242,,TS0711,6,5
2007190401,-25.022,150.115,,TS1083,8,9.5
2007190402,-21.343,119.352,,TS0298,7.5,8.5
2007190403,-26.963,150.866,,TS1120,6,7.5
2007190404,-24.807,152.181,,TS1068,5.5,4.5
2007190406,-21.531,147.048,2007190285,TS0981,5.5,6.5
2007190407,-25.897,138.852,,TS1075,6,5.5
2007190408,-33.315,115.837,,TS0603,5,7
2007190410,-32.327,124.899,,TS0595,8,8.5
2007190411,-23.465,117.572,,TS0356,8,8.5
2007190412,-34.699,139.494,,TS0129,9,9
2007190413,-18.165,139.136,,TS0923,6,6
2007190414,-36.038,144.309,2007191386,TS1346,5,7.5
